Scene no.,oil_spill_size,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,sufficient_mixing_energy,seasurface,seawater,Rtime_ss,Rtime_sw,E_ssC,E_slC,E_swC,E_sbC,soot_pollution,residue_recovery,displacement,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,oil_amount_to_recover.1,displacement.1,retaining_capacity,shoreline_length,distance_to_inhabitation,mcr_DT_output,cdu_DT_output,isb_DT_output
Scene 1,MEDIUM,39,0,1.830991507,0,0,0,1,yes,Large,Large,Short,Short,1,0,-1,-1,YES soot pollution,yes,no,1,0,0,-1,-23,93,-39,53,36,8,1.830991507,no,0,4.315217184,486,OK ,Not recommended ,Consider 
Scene 2,MEDIUM,53,1,1.558670402,0,-1,0,0,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,yes,0,0,0,0,-13,76,-32,9,45,15,1.558670402,yes,1,3.09553981,181,Unknown,Not recommended ,OK 
Scene 3,LARGE,78,1,0.253081024,1,0,0,-1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,yes,-1,0,0,0,-6,63,-25,23,48,9,0.253081024,yes,1,3.114366739,26,OK ,OK ,OK 
Scene 4,LARGE,91,0,0.832398295,0,0,0,-1,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,no,0,0,0,-1,-4,17,-9,78,18,5,0.832398295,no,0,2.286095044,313,OK ,Not recommended ,Consider 
Scene 5,SMALL,45,1,0.737053156,1,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,-16,59,-14,97,36,2,0.737053156,no,1,2.959204401,311,Unknown,Not recommended ,OK 
Scene 6,SMALL,82,0,0.713372886,0,0,0,1,yes,Large,Large,Short,Short,0,1,0,-1,NO soot pollution,yes,no,0,1,0,0,-30,57,0,11,6,3,0.713372886,no,0,3.55952463,491,Consider ,Not recommended ,OK 
Scene 7,SMALL,36,1,0.296896875,1,-1,-1,1,no,Large,Large,Short,Short,-1,1,1,0,NO soot pollution,yes,no,0,1,-1,-1,-29,60,-30,79,29,19,0.296896875,no,1,3.520644407,385,Unknown,Not recommended ,OK 
Scene 8,MEDIUM,71,1,1.666011333,-1,0,0,1,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,-1,-1,0,1,-1,33,-15,23,8,2,1.666011333,yes,1,3.737265633,70,Unknown,Not recommended ,Unknown
Scene 9,MEDIUM,34,1,0.690672755,-1,-1,-1,0,no,Large,Large,Short,Short,1,1,0,-1,YES soot pollution,no,yes,1,-1,0,1,-19,28,-29,40,31,16,0.690672755,yes,1,2.896174814,79,OK ,Not recommended ,OK 
Scene 10,LARGE,85,1,0.347031623,0,0,0,1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,0,0,0,0,-32,39,-14,99,25,11,0.347031623,no,1,1.045639251,316,OK ,Not recommended ,OK 
Scene 11,LARGE,75,1,0.460529536,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,0,0,0,0,-21,28,-22,54,25,20,0.460529536,no,1,3.679071051,295,OK ,Not recommended ,OK 
