Scene no.,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,E_ssC,E_slC,E_swC,E_sbC,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,retaining_capacity,shoreline_length,distance_to_inhabitation,seawater,seasurface,residue_recovery,soot_pollution,displacement,sufficient_mixing_energy,MCR options,CDU options,ISB options
Scene 1,0.325842697,0,0.91147217,0.5,0.5,0.5,1,1,0.5,0,0,1,0.5,0.5,0,0.529411765,0.93258427,0.215686275,0.535353535,0.734693878,0.315789474,0,0.828820144,0.973415133,0,0,1,1,0,1,10,-10,8
Scene 2,0.483146067,1,0.768039349,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.725490196,0.741573034,0.352941176,0.090909091,0.918367347,0.684210526,1,0.523781948,0.349693252,0,0,0,1,1,0,-2,-10,10
Scene 3,0.764044944,1,0.080379214,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.862745098,0.595505618,0.490196078,0.232323232,0.979591837,0.368421053,1,0.528490515,0.032719836,0,0,1,1,1,1,10,10,10
Scene 4,0.91011236,0,0.385508376,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.901960784,0.078651685,0.803921569,0.787878788,0.367346939,0.157894737,0,0.321341879,0.619631902,0,0,1,1,0,1,10,-10,8
Scene 5,0.393258427,1,0.335289638,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,0.550561798,0.705882353,0.97979798,0.734693878,0,1,0.48968481,0.615541922,0,0,0,0,0,0,-2,-10,10
Scene 6,0.808988764,0,0.322817127,0.5,0.5,0.5,1,0.5,1,0.5,0,0.5,1,0.5,0.5,0.392156863,0.528089888,0.980392157,0.111111111,0.12244898,0.052631579,0,0.639823366,0.983640082,0,0,1,0,0,1,8,-10,10
Scene 7,0.292134831,1,0.103457231,1,0,0,1,0,1,1,0.5,0.5,1,0,0,0.411764706,0.561797753,0.392156863,0.797979798,0.591836735,0.894736842,1,0.630099522,0.766871166,0,0,1,0,0,0,-2,-10,10
Scene 8,0.685393258,1,0.824576328,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0.5,1,0.960784314,0.258426966,0.68627451,0.232323232,0.163265306,0,1,0.684275937,0.122699387,0,0,0,1,1,1,-2,-10,-2
Scene 9,0.269662921,1,0.31086086,0,0,0,0.5,1,1,0.5,0,1,0,0.5,1,0.607843137,0.202247191,0.411764706,0.404040404,0.632653061,0.736842105,1,0.473921271,0.141104294,0,0,0,1,1,0,10,-10,10
Scene 10,0.842696629,1,0.129863441,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.352941176,0.325842697,0.705882353,1,0.510204082,0.473684211,1,0.011107053,0.625766871,0,0,1,0,0,0,10,-10,10
